order_id,customer_id,currency,total_amount,placed_at,channel,region
ord_1001,cus_401,INR,1299.00,2026-07-30T04:30:00Z,web,IN
ord_1002,cus_402,INR,4500.00,2026-07-31T04:30:00Z,web,IN
ord_1003,cus_403,INR,999.00,2026-08-01T04:30:00Z,web,IN
ord_1004,cus_404,USD,249.99,2026-08-01T04:30:00Z,web,IN
ord_1005,cus_405,INR,2000.00,2026-08-02T04:30:00Z,web,IN
ord_1006,cus_406,INR,750.00,2026-08-02T04:30:00Z,web,IN
ord_1007,cus_407,INR,1500.00,2026-08-03T04:30:00Z,web,IN
ord_1009,cus_409,INR,1000.00,2026-08-03T04:30:00Z,web,IN
ord_1010,cus_410,INR,3000.00,2026-07-29T04:30:00Z,web,IN
ord_1011,cus_411,INR,1800.00,2026-08-04T04:30:00Z,web,IN
ord_1012,cus_412,INR,150000.00,2026-08-04T04:30:00Z,web,IN
ord_1013,cus_413,USD,2500.00,2026-08-05T04:30:00Z,web,IN
ord_1014,cus_414,INR,5600.00,2026-08-05T04:30:00Z,web,IN
ord_1015,cus_415,INR,899.00,2026-07-30T04:30:00Z,web,IN
ord_1016,cus_415,INR,1250.00,2026-07-31T04:30:00Z,web,IN
ord_1017,cus_415,INR,640.00,2026-08-01T04:30:00Z,web,IN
ord_1018,cus_415,INR,2100.00,2026-08-03T04:30:00Z,web,IN
ord_1019,cus_415,INR,475.00,2026-08-05T04:30:00Z,web,IN
ord_1020,cus_415,INR,3300.00,2026-08-07T04:30:00Z,web,IN
ord_1021,cus_421,INR,1100.00,2026-08-06T04:30:00Z,web,IN
ord_1022,cus_422,INR,350.00,2026-08-06T04:30:00Z,web,IN
ord_1023,cus_423,USD,89.50,2026-08-06T04:30:00Z,web,IN
ord_1024,cus_424,INR,7200.00,2026-08-07T04:30:00Z,web,IN
ord_1025,cus_425,INR,499.00,2026-08-07T04:30:00Z,web,IN
ord_1026,cus_426,INR,2750.00,2026-08-08T04:30:00Z,web,IN
ord_1027,cus_427,INR,1975.00,2026-08-08T04:30:00Z,web,IN
ord_1028,cus_428,INR,620.00,2026-08-09T04:30:00Z,web,IN
ord_1029,cus_429,USD,410.00,2026-08-09T04:30:00Z,web,IN
ord_1030,cus_430,INR,12500.00,2026-08-09T04:30:00Z,web,IN
ord_1031,cus_431,INR,880.00,2026-08-10T04:30:00Z,web,IN
ord_1032,cus_432,INR,4150.00,2026-08-10T04:30:00Z,web,IN
ord_1033,cus_433,INR,1640.00,2026-08-05T04:30:00Z,web,IN
ord_1034,cus_434,INR,299.00,2026-08-02T04:30:00Z,web,IN
ord_1035,cus_435,INR,9990.00,2026-08-08T04:30:00Z,web,IN
ord_2000,cus_600,USD,117.93,2026-07-31T04:30:00Z,android,IN
ord_2001,cus_601,INR,2323.24,2026-07-30T04:30:00Z,android,IN
ord_2002,cus_602,INR,1261.20,2026-08-06T04:30:00Z,web,IN
ord_2003,cus_603,INR,1880.79,2026-07-28T04:30:00Z,web,IN
ord_2004,cus_604,INR,2141.05,2026-07-27T04:30:00Z,ios,IN
ord_2005,cus_605,INR,7404.07,2026-07-27T04:30:00Z,ios,IN
